station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Stewarton,55.72543649,-4.445306033,536844,38370,2025-03-23 07:00:00,3.8,3.8,5,66252010,0,52
Stonyford,56.84214794,-2.811870347,369551,37978,2025-03-23 08:00:00,13.4,13.4,20,66212010,0,152
Strathkelvin House,55.94300475,-4.172710018,300383,37566,2025-03-23 08:00:00,5.4,5.4,10,66140010,0,244
Strathkinness,56.33136897,-2.863918962,11368,35504,2025-03-23 08:00:00,11,11,20,65971010,0,212
Strathy Bridge,58.55872143,-4.002604762,234319,37524,2025-03-23 07:00:00,5,5,5,66136010,0,183
Strathyre,56.32054504,-4.328975608,15172,37048,2025-03-23 08:00:00,7.6,7.6,10,66105010,0,256
Strowan,56.36918493,-3.92115763,361047,37892,2025-03-23 08:00:00,13.6,13.6,20,66201010,0,140
Tarland WWTP,57.12504883,-2.851450464,511327,38246,2025-03-23 07:00:00,6.8,6.8,10,66243010,0,192
Teviothead,55.34222734,-2.936481216,14999,36826,2025-03-23 07:00:00,8.4,8.4,10,66169010,0,234
The Lecht,57.20200168,-3.249607166,115244,35580,2025-03-23 08:00:00,6.4,6.4,10,65982010,0,141
Tillicoultry,56.148819,-3.7458095,15158,37024,2025-03-23 08:00:00,7.6,7.6,10,66102010,0,87
